Store_ID,ItemNum,AltSKU
1001,king henry 199,610546456669
1001,king henry 199,610546455426
1001,king henry 199,610546454429
1001,king henry 199,610546454283
1001,king henry 199,610546454023
1001,king henry 199,610546453705
1001,king henry 199,610546453682
1001,king henry 199,610546453668
1001,king henry 199,610546453644
1001,king henry 199,610546453620
1001,king henry 199,610546453606
1001,king henry 199,610546453545
1001,king henry 199,610546453521
1001,king henry 199,610546453507
1001,king henry 199,610546452425
1001,king henry 199,610546452340
1001,king henry 199,610546451800
1001,king henry 199,610546451749
1001,king henry 199,610546451688
1001,king henry 199,610546451589
1001,king henry 199,610546451466
1001,king henry 199,610546451442
1001,king henry 199,610546451428
1001,king henry 199,610546451305
1001,king henry 199,610546451282
1001,king henry 199,610546451268
1001,king henry 199,610546451220
1001,king henry 199,610546451206
1001,king henry 199,610546451190
1001,king henry 199,610546451183
1001,king henry 199,610546451145
1001,king henry 199,610546451107
1001,king henry 199,610546451060
1001,king henry 199,610546451046
1001,king henry 199,610546451039
1001,king henry 199,610546451022
1001,jacklinks Sasquatch,017082897923
1001,jacklink super stick,017082890344
1001,jacklink super stick,017082890030
1001,jacklink super stick,017082890023
1001,jacklink super stick,017082890016
1001,jacklink super stick,017082880635
1001,jacklink super stick,017082880628
1001,jacklink super stick,017082880611
1001,jacklink super stick,017082880604
1001,jacklink stick,017082897602
1001,jacklin 999,017082702463
1001,haagenDazs 4oz cup,074570651726
1001,haagenDazs 4oz cup,074570651719
1001,haagenDazs 4oz cup,074570651108
1001,haagenDazs 4oz cup,074570651092
1001,haagenDazs 4oz cup,074570082025
1001,haagenDazs 4oz cup,074570082018
1001,haagendaz bar,074570146000
1001,haagendaz bar,074570036004
1001,haagendaz bar,074570026005
1001,haagendaz bar,074570016006
1001,haagendaz bar,074570006007
1001,grandma 2.25oz mix,028400079174
1001,grandma 2.25oz mix,028400079167
1001,grandma 2.25oz mix,028400079150
1001,grandma 2.25oz mix,028400079143
1001,grandma 2.25oz mix,028400001526
1001,frito lay 2/1,029000090422
1001,frito lay 2/1,029000075375
1001,frito lay 2/1,028400078436
1001,frito lay 2/1,028400078412
1001,frito lay 2/1,028400078405
1001,frito lay 2/1,028400078399
1001,frito lay 2/1,028400078368
1001,frito lay 2/1,028400070874
1001,frito lay 2/1,028400070836
1001,frito lay 2/1,028400070799
1001,frito lay 2/1,028400051880
1001,frito lay 2/1,028400045483
1001,frito lay 2/1,028400045476
1001,frito lay 2/1,028400045469
1001,frito lay 2/1,028400039079
1001,frito lay 2/1,028400039062
1001,frito lay 2/1,028400039055
1001,frito lay 1,028400078351
1001,frito lay 1,028400070911
1001,frito lay 1,028400070904
1001,frito lay 1,028400070898
1001,frito lay 1,028400038881
1001,flower 199,701511270479
1001,flower 199,018505130160
1001,fl snack,028400079211
1001,fl snack,028400079204
1001,fl snack,028400079198
1001,fl snack,028400079181
1001,energy drink 1.99,897561001009
1001,energy drink 1.99,895942000047
1001,energy drink 1.99,892143001019
1001,energy drink 1.99,892143001002
1001,energy drink 1.99,859561001007
1001,energy drink 1.99,833050007787
1001,energy drink 1.99,786162312020
1001,energy drink 1.99,684623447765
1001,energy drink 1.99,684623447741
1001,energy drink 1.99,620221209084
1001,energy drink 1.99,186770000720
1001,energy drink 1.99,186770000690
1001,energy drink 1.99,080793805006
1001,energy drink 1.99,080793804856
1001,energy drink 1.99,070847811558
1001,energy drink 1.99,027434021555
1001,egg,072935018504
1001,dogfood 375,023100010779
1001,dogfood 375,023100010700
1001,dogfood 375,023100010045
1001,dlish,748252260109
1001,dlish,748252260000
1001,dlish,748252259905
1001,dlish,748252259806
1001,dlish,748252259707
1001,dlish,748252259608
1001,dlish,748252259509
1001,dlish,748252259400
1001,dlish,748252259301
1001,dlish,748252259202
1001,dlish,748252259103
1001,dlish,748252259004
1001,dlish,748252258908
1001,dlish,748252258809
1001,dlish,748252258700
1001,dlish,748252258601
1001,dlish,748252258502
1001,dlish,748252258403
1001,dlish,748252258304
1001,dlish,748252258205
1001,dlish,748252258106
1001,dlish,748252258007
1001,dlish,748252257901
1001,dlish,748252257802
1001,dlish,748252257703
1001,dlish,748252257604
1001,dlish,748252257505
1001,dlish,748252257406
1001,dlish,748252257307
1001,dlish,748252257208
1001,dlish,748252257109
1001,dlish,748252257000
1001,dlish,748252256904
1001,dlish,748252256805
1001,dlish,748252256706
1001,dlish,748252256607
1001,dlish,748252256508
1001,dlish,748252256409
1001,dlish,748252256300
1001,dlish,748252256201
1001,dlish,748252256102
1001,dlish,748252255907
1001,dlish,748252255808
1001,dlish,748252255709
1001,dlish,748252255600
1001,dlish,748252255501
1001,dlish,748252255402
1001,comb,013114616364
1001,catfood 5.5oz,050000424443
1001,catfood 5.5oz,050000423347
1001,catfood 5.5oz,050000423149
1001,catfood 5.5oz,050000422845
1001,candy25,140872
1001,candy25,107083
1001,candy25,041770047604
1001,candy25,041770046003
1001,candy10,75023010
1001,candy10,75023003
1001,candy10,75022990
1001,candy10,75022983
1001,candy10,75022976
1001,candy10,75022952
1001,candle,882934889421
1001,candle,882934889261
1001,candle,882934889247
1001,candle,882934889223
1001,candle,7503002398050
1001,candle,7503002398036
1001,bridgeford 499,070411032372
1001,bridgeford 499,047500006576
1001,bridgeford 199,047500004909
1001,bridgeford 199,047500004893
1001,bread,045000110038
1001,bic small,703324
1001,bic large,676758233153
1001,bic large,070330622388
1001,bic large,070330600065
1001,ben & jerry pint,077567046147
1001,ben & jerry pint,077567046130
1001,ben & jerry pint,077567046123
1001,ben & jerry pint,077567046116
1001,ben & jerry pint,076840400348
1001,ben & jerry pint,076840400232
1001,ben & jerry pint,076840400164
1001,ben & jerry pint,076840400058
1001,ben & jerry pint,076840102051
1001,ben & jerry pint,076840101832
1001,ben & jerry pint,076840101320
1001,ben & jerry pint,076840101184
1001,ben & jerry pint,076840100811
1001,ben & jerry pint,076840100583
